audio_path,transcription,speaker_id,session_id,orig_start,orig_end,style,utt_id,style_bin,split,split_mixed_to_constrained_aux,split_mixed_to_constrained_aux_note,split_reverse_aux
data/audio/005928.wav,ọfókho̩nrìn ìkwoyhia iyanmí,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005938.wav,o̩míe kháyhiẹ nò̩gbọn,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005898.wav,ìkpòrhù sermon,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005561.wav,úyì rọn n’ohimà,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005833.wav,wue̩nmẹ,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005583.wav,mì vbári ẹ ò ó̩mọ́ ò̩ghẹ́lẹ,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005801.wav,wue̩nmẹ echami ọrè ìkhó óhíma,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005425.wav,hymn,,une016_01,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005877.wav,jésù ọré ma rhùkè lẹ̀ ámànẹ dé,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005493.wav,ò̩réĺva dóbọ́ íni ówẹ̀kẹ kpe̩nran ọ́nọ̀rhẹ ẹ́ tòbá ọ́ìva sogwuè,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005815.wav,wue̩nmẹ,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005379.wav,úyì èkpé̩ èrí ìkwùè̩mnì,,une016_01,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005403.wav,érúhúnmú èkúréghe morning devotion,,une016_01,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005438.wav,ebè,,une016_01,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005804.wav,mọ̀rin tótòmì ímíéfan,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005424.wav,mè̩ rí ívbó khán mè̩ rheafíá rhèana,,une016_01,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005349.wav,ìrìn è̩ sé̩,,une016_01,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005635.wav,èse kẹ́ vbówa ma o…,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005536.wav,ó̩dàvbokhùn hùrhò̩ze,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005653.wav,mírá khá kwuẹnmí ẹ́ ó̩ghẹnẹ mẹ̀,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005479.wav,kháyhíé̩n ò̩fbè̩fbè̩me̩,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005496.wav,ovuon irin obe óìvágbe e̩ óìvá ria e̩ vb’ogho òzanrammi ràhí ukì o̩bè vb’ogho asùn,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005397.wav,ibienu testimony,,une016_01,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005971.wav,érhúnmú,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005887.wav,òkhó̩nrin agbọ́n gbè̩lọ̀ a,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005458.wav,vb’ekureghè míràkpàkhọ́ kwùè̩nmi ó̩ghè̩le̩,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005506.wav,erhunmù prayer,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005838.wav,ííse̩e̩,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005970.wav,iise̩e̩,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
data/audio/005605.wav,ìkh’ò̩wàn nò̩ ghè vbi kẹ̀ é̩,,une016_02,,,reading,,constrained,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,test
