experiment,transfer,train_style,test_style,reference_tone,predicted_tone,count,row_percent
E3,No,mixed,naturalistic,mid,high,3698,40.1345778163664
E3,No,mixed,naturalistic,mid,low,1837,19.93705231169959
E3,No,mixed,naturalistic,mid,<eps>,890,9.659214239201216
E3,No,mixed,naturalistic,high,mid,634,8.0970625798212
E3,No,mixed,naturalistic,low,mid,664,8.535801516904487
E5,No,mixed,constrained,mid,high,133,23.835125448028673
E5,No,mixed,constrained,mid,low,62,11.11111111111111
E5,No,mixed,constrained,mid,<eps>,62,11.11111111111111
E5,No,mixed,constrained,high,mid,67,14.01673640167364
E5,No,mixed,constrained,low,mid,43,9.347826086956522
E8,Yes,mixed,naturalistic,mid,high,3981,43.20599088343825
E8,Yes,mixed,naturalistic,mid,low,2114,22.943347080529627
E8,Yes,mixed,naturalistic,mid,<eps>,861,9.344475797699154
E8,Yes,mixed,naturalistic,high,mid,511,6.52618135376756
E8,Yes,mixed,naturalistic,low,mid,475,6.106183314050649
E10,Yes,mixed,constrained,mid,high,117,20.967741935483872
E10,Yes,mixed,constrained,mid,low,75,13.440860215053762
E10,Yes,mixed,constrained,mid,<eps>,56,10.03584229390681
E10,Yes,mixed,constrained,high,mid,59,12.343096234309623
E10,Yes,mixed,constrained,low,mid,37,8.043478260869565
