experiment,transfer,test_style,vowel,reference_count,correct_count,accuracy,error_rate
E3,No,naturalistic,a,7230,5663,0.7832641770401106,0.21673582295988936
E3,No,naturalistic,e,4681,2750,0.5874813074129459,0.4125186925870541
E3,No,naturalistic,ẹ,0,0,,
E3,No,naturalistic,i,5460,3369,0.6170329670329671,0.38296703296703294
E3,No,naturalistic,o,3277,1917,0.5849862679279829,0.4150137320720171
E3,No,naturalistic,ọ,0,0,,
E3,No,naturalistic,u,2040,927,0.45441176470588235,0.5455882352941177
E3,No,naturalistic,an,663,240,0.36199095022624433,0.6380090497737556
E3,No,naturalistic,ẹn,0,0,,
E3,No,naturalistic,ọn,0,0,,
E3,No,naturalistic,un,501,196,0.3912175648702595,0.6087824351297405
E3,No,naturalistic,in,971,281,0.2893923789907312,0.7106076210092688
E5,No,constrained,a,336,283,0.8422619047619048,0.15773809523809523
E5,No,constrained,e,286,228,0.7972027972027972,0.2027972027972028
E5,No,constrained,ẹ,44,27,0.6136363636363636,0.38636363636363635
E5,No,constrained,i,340,266,0.7823529411764706,0.21764705882352942
E5,No,constrained,o,189,139,0.7354497354497355,0.26455026455026454
E5,No,constrained,ọ,14,5,0.35714285714285715,0.6428571428571428
E5,No,constrained,u,148,108,0.7297297297297297,0.2702702702702703
E5,No,constrained,an,43,28,0.6511627906976745,0.34883720930232553
E5,No,constrained,ẹn,9,6,0.6666666666666666,0.33333333333333337
E5,No,constrained,ọn,3,1,0.3333333333333333,0.6666666666666667
E5,No,constrained,un,22,7,0.3181818181818182,0.6818181818181819
E5,No,constrained,in,63,42,0.6666666666666666,0.33333333333333337
E8,Yes,naturalistic,a,7230,5640,0.7800829875518672,0.21991701244813278
E8,Yes,naturalistic,e,4681,2705,0.5778679769280068,0.42213202307199316
E8,Yes,naturalistic,ẹ,0,0,,
E8,Yes,naturalistic,i,5460,3367,0.6166666666666667,0.3833333333333333
E8,Yes,naturalistic,o,3277,1900,0.5797985962770827,0.42020140372291725
E8,Yes,naturalistic,ọ,0,0,,
E8,Yes,naturalistic,u,2040,880,0.43137254901960786,0.5686274509803921
E8,Yes,naturalistic,an,663,209,0.3152337858220211,0.6847662141779789
E8,Yes,naturalistic,ẹn,0,0,,
E8,Yes,naturalistic,ọn,0,0,,
E8,Yes,naturalistic,un,501,165,0.32934131736526945,0.6706586826347305
E8,Yes,naturalistic,in,971,309,0.31822863027806386,0.6817713697219361
E10,Yes,constrained,a,336,287,0.8541666666666666,0.14583333333333337
E10,Yes,constrained,e,286,230,0.8041958041958042,0.19580419580419584
E10,Yes,constrained,ẹ,44,28,0.6363636363636364,0.36363636363636365
E10,Yes,constrained,i,340,255,0.75,0.25
E10,Yes,constrained,o,189,140,0.7407407407407407,0.2592592592592593
E10,Yes,constrained,ọ,14,3,0.21428571428571427,0.7857142857142857
E10,Yes,constrained,u,148,103,0.6959459459459459,0.30405405405405406
E10,Yes,constrained,an,43,32,0.7441860465116279,0.2558139534883721
E10,Yes,constrained,ẹn,9,7,0.7777777777777778,0.2222222222222222
E10,Yes,constrained,ọn,3,1,0.3333333333333333,0.6666666666666667
E10,Yes,constrained,un,22,10,0.45454545454545453,0.5454545454545454
E10,Yes,constrained,in,63,46,0.7301587301587301,0.2698412698412699
