vowel,E3_accuracy,E5_accuracy,E3_minus_E5,E8_accuracy,E10_accuracy,E8_minus_E10,max_absolute_difference
an,0.36199095022624433,0.6511627906976745,-0.28917184047143013,0.3152337858220211,0.7441860465116279,-0.4289522606896068,0.4289522606896068
in,0.2893923789907312,0.6666666666666666,-0.3772742876759354,0.31822863027806386,0.7301587301587301,-0.41193009988066626,0.41193009988066626
u,0.45441176470588235,0.7297297297297297,-0.27531796502384737,0.43137254901960786,0.6959459459459459,-0.2645733969263381,0.27531796502384737
e,0.5874813074129459,0.7972027972027972,-0.20972148978985128,0.5778679769280068,0.8041958041958042,-0.22632782726779732,0.22632782726779732
i,0.6170329670329671,0.7823529411764706,-0.16531997414350352,0.6166666666666667,0.75,-0.1333333333333333,0.16531997414350352
o,0.5849862679279829,0.7354497354497355,-0.15046346752175255,0.5797985962770827,0.7407407407407407,-0.16094214446365795,0.16094214446365795
un,0.3912175648702595,0.3181818181818182,0.07303574668844132,0.32934131736526945,0.45454545454545453,-0.12520413718018508,0.12520413718018508
a,0.7832641770401106,0.8422619047619048,-0.058997727721794124,0.7800829875518672,0.8541666666666666,-0.0740836791147994,0.0740836791147994
ẹ,,0.6136363636363636,,,0.6363636363636364,,
ọ,,0.35714285714285715,,,0.21428571428571427,,
ẹn,,0.6666666666666666,,,0.7777777777777778,,
ọn,,0.3333333333333333,,,0.3333333333333333,,
