experiment,transfer,test_style,reference,prediction,rank_within_reference,count,percentage
E3,No,naturalistic,a,<eps>,1,403,0.055739972337482714
E3,No,naturalistic,a,i,2,390,0.05394190871369295
E3,No,naturalistic,a,e,3,247,0.03416320885200553
E3,No,naturalistic,e,i,1,736,0.15723136082033753
E3,No,naturalistic,e,<eps>,2,398,0.08502456740012818
E3,No,naturalistic,e,a,3,335,0.07156590472121342
E3,No,naturalistic,i,e,1,523,0.0957875457875458
E3,No,naturalistic,i,a,2,450,0.08241758241758242
E3,No,naturalistic,i,<eps>,3,438,0.08021978021978023
E3,No,naturalistic,o,<eps>,1,286,0.08727494659749771
E3,No,naturalistic,o,a,2,279,0.08513884650595056
E3,No,naturalistic,o,i,3,264,0.08056148916692096
E3,No,naturalistic,u,o,1,251,0.1230392156862745
E3,No,naturalistic,u,i,2,220,0.10784313725490197
E3,No,naturalistic,u,a,3,196,0.09607843137254903
E3,No,naturalistic,an,a,1,205,0.3092006033182504
E3,No,naturalistic,an,i,2,70,0.10558069381598793
E3,No,naturalistic,an,<eps>,3,55,0.08295625942684766
E3,No,naturalistic,un,a,1,63,0.12574850299401197
E3,No,naturalistic,un,o,2,56,0.11177644710578842
E3,No,naturalistic,un,u,3,51,0.10179640718562874
E3,No,naturalistic,in,i,1,336,0.34603501544799176
E3,No,naturalistic,in,a,2,94,0.09680741503604531
E3,No,naturalistic,in,e,3,92,0.09474768280123584
E5,No,constrained,a,<eps>,1,23,0.06845238095238096
E5,No,constrained,a,an,2,8,0.023809523809523808
E5,No,constrained,a,o,3,6,0.017857142857142856
E5,No,constrained,e,<eps>,1,24,0.08391608391608392
E5,No,constrained,e,i,2,21,0.07342657342657342
E5,No,constrained,e,a,3,3,0.01048951048951049
E5,No,constrained,ẹ,<eps>,1,10,0.22727272727272727
E5,No,constrained,ẹ,u,2,2,0.045454545454545456
E5,No,constrained,ẹ,i,3,2,0.045454545454545456
E5,No,constrained,i,<eps>,1,24,0.07058823529411765
E5,No,constrained,i,e,2,19,0.05588235294117647
E5,No,constrained,i,a,3,12,0.03529411764705882
E5,No,constrained,o,<eps>,1,13,0.06878306878306878
E5,No,constrained,o,u,2,12,0.06349206349206349
E5,No,constrained,o,a,3,8,0.042328042328042326
E5,No,constrained,ọ,<eps>,1,4,0.2857142857142857
E5,No,constrained,ọ,un,2,1,0.07142857142857142
E5,No,constrained,ọ,u,3,1,0.07142857142857142
E5,No,constrained,u,<eps>,1,18,0.12162162162162163
E5,No,constrained,u,e,2,8,0.05405405405405406
E5,No,constrained,u,o,3,5,0.033783783783783786
E5,No,constrained,an,a,1,7,0.16279069767441862
E5,No,constrained,an,<eps>,2,3,0.06976744186046512
E5,No,constrained,an,i,3,2,0.046511627906976744
E5,No,constrained,ẹn,e,1,2,0.2222222222222222
