vowel,E3_deletion_rate,E5_deletion_rate,E3_minus_E5,E8_deletion_rate,E10_deletion_rate,E8_minus_E10
a,0.055739972337482714,0.06845238095238096,-0.012712408614898245,0.051452282157676346,0.05654761904761905,-0.005095336889942702
e,0.08502456740012818,0.08391608391608392,0.0011084834840442565,0.07583849604785302,0.06293706293706294,0.012901433110790075
ẹ,,0.22727272727272727,,,0.22727272727272727,
i,0.08021978021978023,0.07058823529411765,0.00963154492566258,0.0782051282051282,0.07352941176470588,0.00467571644042232
o,0.08727494659749771,0.06878306878306878,0.01849187781442893,0.0732377174244736,0.10052910052910052,-0.02729138310462692
ọ,,0.2857142857142857,,,0.21428571428571427,
u,0.09166666666666666,0.12162162162162163,-0.029954954954954968,0.08431372549019608,0.11486486486486487,-0.030551139374668787
an,0.08295625942684766,0.06976744186046512,0.013188817566382544,0.08597285067873303,0.046511627906976744,0.03946122277175629
ẹn,,0.1111111111111111,,,0.1111111111111111,
ọn,,0.6666666666666666,,,0.3333333333333333,
un,0.08782435129740519,0.18181818181818182,-0.09399383052077663,0.10179640718562874,0.18181818181818182,-0.08002177463255308
in,0.08753861997940268,0.07936507936507936,0.008173540614323321,0.07312049433573635,0.06349206349206349,0.009628430843672861
